Phrase	Grammar	Transcription	Translation	Notes
صَدْرٌ		ṣadr	pierś	
ظَهْرٌ		ẓahr	plecy	
إِصْبَعٌ		iṣbaʿ	palec	
كَبِيرَةٌ		kabīra	duża	
مُفِيدٌ		mufīd	pożyteczny	
# === 8 ===
بَابٌ		bāb	drzwi	
كِتَابٌ		kitāb	książka	
كُرْسِيٌّ		kursī	krzesło	
طَالِبٌ		ṭālib	student	
نَظِيفٌ		naẓīf	czysty	
صَغِيرٌ		ṣaġīr	mały	
كَبِيرٌ		kabīr	duży	
جَمِيلٌ		jamīl	piękny	
أَيْنَ		ayna	gdzie	
هُنَا		hunā	tutaj	
هُنَاكَ		hunāka	tam	
مَعْهَدٌ		maʿhad	instytut	
طَالِبَةٌ		ṭāliba	studentka	
تَدْرِيسٌ		tadrīs	nauka	
غُرْفَةُ ٱلتَّدْرِيسِ		ġurfatu-t-tadrīs	audytorium	
سُوفْيَاتِيٌّ		sūfyātī	radziecki	
أَلآنَ		al-ʾāna	teraz	
طَاوِلَةٌ		ṭāwila	stół	
شَابٌّ		šābb	młodzieniec	
أَنَا		anā	ja	
أَنْتَ		anta	ty	
أَنْتِ		anti	ty	
نَحْنُ		naḥnu	my	
هُمْ		hum	oni	
سَيِّدٌ		sayyid	pan	
حِوَارٌ		ḥiwār	dialog	
قِسْمٌ		qism	część; sektor	
صَفٌّ		ṣaff	rok nauki; rząd	
أَلصَّفُّ ٱلأَوَّلُ		aṣ-ṣaffu-l-ʾawwal	pierwszy rok	
مِمْسَحَةٌ		mimsaḥa	gąbka; ścierka	
مِسْطَرَةٌ		misṭara	linijka	
مَسَّاحَةٌ		massāḥa	gumka do ścierania	
خِزَانَةٌ		ḫizāna	szafa	
مَفْتُوحٌ		maftūḥ	otwarty	
مَقْفُولٌ		maqfūl	zamknięty	
أَيْضاً		ayḍan	też; także	
كَذَلِكَ		kaḏālika	też; także	
مَاذَا		māḏā	co	
مَا		mā	co	
أَمَّا ... فَ ...		ammā ... fa ...	co dotyczy ..., to ...	
قَرْيَةٌ		qarya	wieś	
غُرْفَةٌ		ġurfa	pokój; izba	
غُرَفٌ	pl	ġuraf	pokoje; izby	
طَلَبَةٌ	pl	ṭalaba	studenci	
طُلَّابٌ	pl	ṭullāb	studenci	
رُوسِيٌّ		rūsī	rosyjski; Rosjanin	
رُوسٌ	pl	rūs	Rosjanie	
كَرَاسِيُّ	pl	karāsī	krzesła	
لُغَةٌ		luġa	język	
بَلَدٌ		balad	kraj	
بُلْدَانٌ	pl	buldān	kraje	
بِلَادٌ	pl	bilād	kraje	
مَعَاهِدُ	pl	maʿāhid	instytuty	
نَافِذَةٌ		nāfiḏa	okno	
نَوَافِذُ	pl	nawāfiḏ	okna	
طَبْشُورَةٌ		ṭabšūra	kawałek kredy	
طَبَاشِيرُ	pl	ṭabāšīr	kreda	
كُتُبٌ	pl	kutub	książki	
مَجَلَّةٌ		majalla	czasopismo	
جَرِيدَةٌ		jarīda	gazeta	
جَرَائِدُ	pl	jarāʾid	gazety	
صُورَةٌ		ṣūra	obraz; portret; kopia	
صُوَرٌ	pl	ṣuwar	obrazy; portrety; kopie	
خَرِيطَةٌ		ḫarīṭa	mapa	
خَرَائِطُ	pl	ḫarāʾiṭ	mapy	
حَائِطٌ		ḥāʾiṭ	ściana	
حِيطَانٌ	pl	ḥīṭān	ściany	
