Phrase	Grammar	Transcription	Translation	Notes
zu Hause			w domu	
unsere Wohnung			nasze mieszkanie	
ein Arbeitsplatz			miejsce do pracy	
der Abend			wieczór	18-23 Uhr
das Abendbrot			kolacja	
alles			wszystko	
arbeiten			pracować	
der Arbeitsplatz			miejsce pracy	
das Bad			łazienka	
der Balkon			balkon	
dann			następnie; potem	
fertig			gotowy	
gemütlich			przytulny	
genug			dosyć	
groß			duży	
das Haus			dom	
hübsch			ładny	
klein			mały	
der Korridor			korytarz	
die Küche			kuchnia	
nein			nie	
neugierig			ciekawy	
nicht			nie	
der Platz			miejsce; plac	
praktisch			praktyczny	
schlafen			spać	
das Schlafzimmer			sypialnia	
übrigens			zresztą	
unser			nasz	
wahr			prawdziwy	
die Wohnung			mieszkanie	
das Wohnzimmer			salon	
das Zimmer			pokój	
zufrieden			zadowolony	
