Phrase	Grammar	Transcription	Translation	Notes
tôi			ja	
bạn			ty; przyjaciel	
người bạn			przyjaciel	
tên			imię	
là			być	
thì			być	
xin chào bạn			dzień dobry; do widzenia	
tạm biệt			do widzenia	
bạn khỏe không?			jak się masz?	
khỏe			mieć się dobrze	
rất vui được gặp bạn			cieszę się, że cię poznałem	
tôi cũng vậy			i ja też	
xin lỗi			przepraszam	
không sao đâu			nieważne; nic się nie stało	
cảm ơn			dziękować	
không có chi			proszę bardzo; nie ma za co	
còn ... thì sao?			a ...?	
còn bạn thì sao?			a ty?	
còn bạn?			a ty?	
cuốn sách			książka	
tờ báo			gazeta	
cây bút mực			pióro	
cây viết			pióro	
cây bút chì			ołówek	
cây viết chì			ołówek	
cây bút bi			długopis	
cây viết bic			długopis	
quyển vở			zeszyt	
cái bản đồ			mapa	
cái đồng hồ			zegar; zegarek	
cái bao			torba	
cái túi			torba	
cái này			to	
này			ten	
đây			ten	
cái đó			tamto	
đó			tamten	
cái kia			tamto	daleko
kia			tamten	
cái gì			co	
gì			co	
dạ			tak	
vâng			tak	
ừ			tak	
ờ			tak	
không			nie	
... không?			czy ...?	
... phải không?			... czy tak?	
không phải			nie; nie jest	
đây có phải là ... không?			czy to jest ...?	
đây không phải là ...			to nie jest ...	
hiểu không?			czy rozumiesz?	
hiểu			rozumieć	
không hiểu			nie rozumieć	
không			zero	
lẻ			zero	
một			jeden	
hai			dwa	
ba			trzy	
bốn			cztery	
năm			pięć	
sáu			sześć	
bảy			siedem	
tám			osiem	
chín			dziewięć	
mười			dziesięć	
mười một			jedenaście	
mười hai			dwanaście	
mười ba			trzynaście	
mười bốn			czternaście	
mười lăm			piętnaście	
hai mươi			dwadzieścia	
hai chục			dwadzieścia	
hai mươi mốt			dwadzieścia jeden	
hai mươi hai			dwadzieścia dwa	
hai mươi ba			dwadzieścia trzy	
hai mươi lăm			dwadzieścia pięć	
ba mươi			trzydzieści	
ba chục			trzydzieści	
ba mươi mốt			trzydzieści jeden	
ba mươi lăm			trzydzieści pięć	
bốn mươi			czterdzieści	
bốn chục			czterdzieści	
năm mươi			pięćdziesiąt	
năm chục			pięćdziesiąt	
sáu mươi			sześćdziesiąt	
sáu chục			sześćdziesiąt	
bảy mươi			siedemdziesiąt	
bảy chục			siedemdziesiąt	
tám mươi			osiemdziesiąt	
tám chục			osiemdziesiąt	
chín mươi			dziewięćdziesiąt	
chín chục			dziewięćdziesiąt	
một trăm			sto	
một trăm lẻ một			sto jeden	
một trăm lẻ hai			sto dwa	
một trăm mười			sto dziesięć	
một trăm năm mươi			sto pięćdziesiąt	
hai trăm			dwieście	
ba trăm			trzysta	
một nghìn			tysiąc	
một ngàn			tysiąc	
một nghìn lẻ một			tysiąc jeden	
hai nghìn			dwa tysiące	
ba nghìn			trzy tysiące	
mười nghìn			dziesięć tysięcy	
một trăm nghìn			sto tysięcy	
một triệu			milion	
mười triệu			dziesięć milionów	
một trăm triệu			sto milionów	

